plate,genet,well,treatment_ni_mg_per_L,pair_number,hpe,image,count,total_area,average_size_particle_px,percent_area,threshold_mean,analysis_method
p1,Tunicate 1,a1,0,1,0,range.p1.a1.ctrl.paired1.42625.0hpe.tif,2569,430349,167.516,13.68,255,automated
p1,Tunicate 1,a1,0,1,24,range.p1.a1.ctrl.paired1.42725.24hpe.jpg,2750,436862,158.859,13.887,255,automated
p1,Tunicate 1,a1,0,2,0,range.p1.a1.ctrl.paired2.42625.0hpe.tif,1096,176316,160.872,5.605,255,automated
p1,Tunicate 1,a1,0,2,24,range.p1.a1.ctrl.paired2.42725.24hpe.jpg,1357,215590,158.873,6.853,255,automated
p1,Tunicate 1,a1,0,3,0,range.p1.a1.ctrl.paired3.42625.0hpe-1.tif,1729,270722,156.577,11.49,255,automated
p1,Tunicate 1,a1,0,3,24,range.p1.a1.ctrl.paired3.42725.24hpe-1.jpg,2020,306754,151.858,12.57,255,automated
p1,Tunicate 1,a2,0.1,1,0,range.p1.a2.0.1.paired1.42625.0hpe.tif,2421,382232,157.882,12.151,255,automated
p1,Tunicate 1,a2,0.1,1,24,range.p1.a2.0.1.paired1.42725.24hpe.jpg,2786,447886,160.763,14.238,255,automated
p1,Tunicate 1,a2,0.1,2,0,range.p1.a2.0.1.paired2.42625.0hpe..tif,1220,250556,205.374,7.965,255,automated
p1,Tunicate 1,a2,0.1,2,24,range.p1.a2.0.1.paired2.42725.24hpe.jpg,1203,262022,217.807,8.329,255,automated
p1,Tunicate 1,a3,1,1,0,range.p1.a3.1.paired1.42625.0hpe-1.tif,899,171026,190.24,10.126,255,automated
p1,Tunicate 1,a3,1,1,24,range.p1.a3.1.paired1.42725.24hpe-1.jpg,1048,229246,218.746,14.073,255,automated
p1,Tunicate 1,a3,1,2,0,range.p1.a3.1.paired2.42625.0hpe.tif,586,127234,217.123,4.045,255,automated
p1,Tunicate 1,a3,1,2,24,range.p1.a3.1.paired2.42725.24hpe.jpg,636,133027,209.162,4.229,255,automated
p1,Tunicate 1,a3,1,3,0,range.p1.a3.1.paired3.42625.0hpe.tif,1458,336034,230.476,10.682,255,automated
